angle htheta hA hc
0 186 186 122
5 182 186 122
10 180 186 122
15 174 186 122
20 168 186 122
25 160 186 122
30 152 186 122
35 140 186 122
40 138 186 122
45 122 186 122
50 110 186 124
55 100 186 124
60 92 186 124
65 88 186 124
70 82 186 122
75 87 186 122
80 88 186 122
135 108 186 124
180 110 186 124
225 108 186 126
270 100 186 126
275 90 186 124
280 84 186 124
285 82 186 124
290 90 186 124
295 102 186 124
300 104 186 124
305 104 186 124
310 120 186 124
315 134 186 124
320 144 186 124
325 152 186 124
330 162 186 124
335 168 186 124
340 178 186 124
345 180 186 124
350 184 186 124
355 186 186 124
360 186 186 124

