Signaux reflechis et transmis pour une structure 
Signal echographique : ser2_25.tam
Milieu incident : eau
Milieu de refraction : eau
Nombre de periodes   1
Couche   1	 : nickel	Epaisseur (mm) : 1.00000000e+01
Epaisseur totale h d'une periode (mm) : 1.00000000e+01
Epaisseur totale H de la plaque (mm) : 1.00000000e+01
Pas frequentiel (MHz) : 9.76562500e-03
Pas temporel (µs) : 5.00000000e-02
Angle d'incidence (degre) : 1.00000000e+01
 



no	temps (µs)	SR	ST
  1	0.00000000e+00	-8.12155802e-03	-3.54855504e-04
  2	5.00000000e-02	-3.50708613e-02	-5.38285823e-05
  3	1.00000000e-01	-6.64096981e-02	4.62006535e-04
  4	1.50000000e-01	-6.67966902e-02	8.89129790e-04
  5	2.00000000e-01	-1.50343718e-02	8.41898497e-04
  6	2.50000000e-01	6.98056354e-02	2.21131962e-04
  7	3.00000000e-01	1.34956259e-01	-5.95081749e-04
  8	3.50000000e-01	1.34782422e-01	-1.02749437e-03
  9	4.00000000e-01	6.95368362e-02	-7.71319074e-04
 10	4.50000000e-01	-1.88472481e-02	-6.44358197e-06
 11	5.00000000e-01	-8.22232493e-02	7.24374032e-04
 12	5.50000000e-01	-9.67468557e-02	9.58611836e-04
 13	6.00000000e-01	-6.90123738e-02	6.49223004e-04
 14	6.50000000e-01	-2.19864853e-02	4.65509623e-05
 15	7.00000000e-01	2.01434328e-02	-4.70662959e-04
 16	7.50000000e-01	4.10730901e-02	-6.19912446e-04
 17	8.00000000e-01	3.78585848e-02	-4.47082753e-04
 18	8.50000000e-01	1.91279006e-02	-1.37422633e-04
 19	9.00000000e-01	-2.16311565e-03	1.59487153e-04
 20	9.50000000e-01	-1.58395933e-02	3.11842940e-04
 21	1.00000000e+00	-1.87546781e-02	2.87371004e-04
 22	1.05000000e+00	-1.34318000e-02	1.22497639e-04
 23	1.10000000e+00	-4.51998813e-03	-8.77183490e-05
 24	1.15000000e+00	3.15039554e-03	-2.63700315e-04
 25	1.20000000e+00	6.59751597e-03	-4.49407179e-04
 26	1.25000000e+00	5.74104958e-03	-4.87470155e-04
 27	1.30000000e+00	2.52507945e-03	-4.62924849e-04
 28	1.35000000e+00	-6.63143706e-04	-1.49099058e-03
 29	1.40000000e+00	-2.64087130e-03	-4.07266742e-03
 30	1.45000000e+00	-3.30545896e-03	-6.12755025e-03
 31	1.50000000e+00	-2.71150900e-03	-4.52923626e-03
 32	1.55000000e+00	-1.28297783e-03	1.62251365e-03
 33	1.60000000e+00	2.91670036e-04	9.35324673e-03
 34	1.65000000e+00	1.39233753e-03	1.34964952e-02
 35	1.70000000e+00	1.61810005e-03	1.10116473e-02
 36	1.75000000e+00	1.13548859e-03	3.50301683e-03
 37	1.80000000e+00	2.72171412e-04	-4.53842630e-03
