Signaux reflechis et transmis pour une structure 
Signal echographique : ser2_25.tam
Milieu incident : eau
Milieu de refraction : eau
Nombre de periodes   1
Couche   1	 : nickel	Epaisseur (mm) : 5.00000000e+00
Epaisseur totale h d'une periode (mm) : 5.00000000e+00
Epaisseur totale H de la plaque (mm) : 5.00000000e+00
Pas frequentiel (MHz) : 9.76562500e-03
Pas temporel (µs) : 5.00000000e-02
Angle d'incidence (degre) : 0.00000000e+00
 



no	temps (µs)	SR	ST
  1	0.00000000e+00	-7.88204439e-03	1.30509363e-05
  2	5.00000000e-02	-3.49152354e-02	2.44343253e-05
  3	1.00000000e-01	-6.63954990e-02	1.28435876e-05
  4	1.50000000e-01	-6.68922072e-02	5.24724506e-06
  5	2.00000000e-01	-1.51277371e-02	-2.28033187e-06
  6	2.50000000e-01	6.98456123e-02	-1.61690494e-05
  7	3.00000000e-01	1.35182013e-01	-6.33416052e-06
  8	3.50000000e-01	1.35040313e-01	-5.15148296e-06
  9	4.00000000e-01	6.95644548e-02	-3.90024720e-06
 10	4.50000000e-01	-1.91945305e-02	1.20256683e-05
 11	5.00000000e-01	-8.28394700e-02	-3.28208420e-07
 12	5.50000000e-01	-9.72260808e-02	3.58189402e-06
 13	6.00000000e-01	-6.89115221e-02	6.81679988e-06
 14	6.50000000e-01	-2.12840675e-02	-1.67444734e-05
 15	7.00000000e-01	2.09607840e-02	6.44117266e-06
 16	7.50000000e-01	4.13643591e-02	-1.89585803e-05
 17	8.00000000e-01	3.73477886e-02	-1.49870271e-05
 18	8.50000000e-01	1.81606348e-02	-8.04469190e-05
 19	9.00000000e-01	-2.92262742e-03	-1.58388607e-03
 20	9.50000000e-01	-1.59244845e-02	-5.23836887e-03
 21	1.00000000e+00	-1.82429428e-02	-8.38924040e-03
 22	1.05000000e+00	-1.28595617e-02	-6.83862007e-03
 23	1.10000000e+00	-4.35232233e-03	8.37280845e-04
 24	1.15000000e+00	2.85686134e-03	1.10208208e-02
 25	1.20000000e+00	6.11785488e-03	1.70351826e-02
 26	1.25000000e+00	5.41679449e-03	1.46032697e-02
 27	1.30000000e+00	2.46693280e-03	5.37560980e-03
 28	1.35000000e+00	-4.93089680e-04	-4.94242221e-03
 29	1.40000000e+00	-2.21187508e-03	-1.10593339e-02
 30	1.45000000e+00	-2.61673026e-03	-1.11552563e-02
 31	1.50000000e+00	-1.88775721e-03	-6.79199546e-03
 32	1.55000000e+00	-6.59075698e-04	-9.71913036e-04
 33	1.60000000e+00	3.13740867e-04	3.50239416e-03
 34	1.65000000e+00	7.72152278e-04	5.09898349e-03
 35	1.70000000e+00	5.94200313e-04	3.97027623e-03
 36	1.75000000e+00	5.16037228e-04	1.44615422e-03
 37	1.80000000e+00	2.20057798e-03	-8.94672044e-04
 38	1.85000000e+00	5.59323677e-03	-2.09680425e-03
 39	1.90000000e+00	7.60376975e-03	-2.08004102e-03
 40	1.95000000e+00	4.64235143e-03	-1.27362992e-03
 41	2.00000000e+00	-3.54468721e-03	-2.59659459e-04
 42	2.05000000e+00	-1.25126127e-02	4.91895500e-04
 43	2.10000000e+00	-1.61553080e-02	7.51219338e-04
 44	2.15000000e+00	-1.17508031e-02	5.60101964e-04
 45	2.20000000e+00	-2.16530718e-03	1.92029425e-04
 46	2.25000000e+00	6.82662695e-03	-1.28836211e-04
 47	2.30000000e+00	1.10008954e-02	-3.02683528e-04
 48	2.35000000e+00	9.67478205e-03	-2.97523634e-04
 49	2.40000000e+00	4.86773000e-03	-2.03674648e-04
 50	2.45000000e+00	-4.82999971e-04	-6.20866338e-05
 51	2.50000000e+00	-4.03097467e-03	4.77183008e-05
 52	2.55000000e+00	-4.75778929e-03	3.03214716e-05
 53	2.60000000e+00	-3.14632750e-03	3.04846994e-05
 54	2.65000000e+00	-6.79511851e-04	-5.40052502e-04
 55	2.70000000e+00	1.27568146e-03	-2.94032923e-03
 56	2.75000000e+00	2.08474660e-03	-6.33766506e-03
 57	2.80000000e+00	1.80465486e-03	-7.22930441e-03
 58	2.85000000e+00	9.37590612e-04	-2.82077457e-03
 59	2.90000000e+00	6.80493897e-06	5.78053563e-03
 60	2.95000000e+00	-5.99646644e-04	1.34552960e-02
 61	3.00000000e+00	-6.87372391e-04	1.48192793e-02
 62	3.05000000e+00	-4.30327705e-04	8.85092804e-03
 63	3.10000000e+00	-9.47896159e-05	-5.80383426e-04
 64	3.15000000e+00	1.85822559e-04	-8.12571212e-03
 65	3.20000000e+00	2.97842250e-04	-1.05796237e-02
 66	3.25000000e+00	2.66959648e-04	-8.14592284e-03
 67	3.30000000e+00	1.70113858e-04	-3.16816206e-03
 68	3.35000000e+00	1.53621552e-05	1.62831271e-03
 69	3.40000000e+00	-4.07549491e-05	4.27319285e-03
 70	3.45000000e+00	-9.24812791e-06	4.24746368e-03
 71	3.50000000e+00	2.39366944e-05	2.36390856e-03
 72	3.55000000e+00	9.28760766e-04	3.51315780e-05
 73	3.60000000e+00	3.59892764e-03	-1.55115500e-03
 74	3.65000000e+00	6.48591165e-03	-1.98972309e-03
 75	3.70000000e+00	6.11897989e-03	-1.51774776e-03
 76	3.75000000e+00	6.35392661e-04	-6.26554021e-04
 77	3.80000000e+00	-7.74097793e-03	1.88608679e-04
 78	3.85000000e+00	-1.37016323e-02	6.27663306e-04
 79	3.90000000e+00	-1.29728163e-02	6.18062082e-04
 80	3.95000000e+00	-5.95574252e-03	3.21981384e-04
 81	4.00000000e+00	2.90615100e-03	-2.27199375e-06
 82	4.05000000e+00	8.85290129e-03	-2.25137699e-04
 83	4.10000000e+00	9.75220063e-03	-2.89522862e-04
 84	4.15000000e+00	6.50954733e-03	-2.28397872e-04
 85	4.20000000e+00	1.61541191e-03	-1.23886245e-04
 86	4.25000000e+00	-2.47963255e-03	5.41563373e-07
 87	4.30000000e+00	-4.27625973e-03	2.76187248e-05
 88	4.35000000e+00	-3.64431483e-03	-5.33941350e-09
 89	4.40000000e+00	-1.60782212e-03	-1.35540832e-04
 90	4.45000000e+00	4.82556947e-04	-1.37769348e-03
 91	4.50000000e+00	1.69620995e-03	-4.17127222e-03
 92	4.55000000e+00	1.82525628e-03	-6.34835338e-03
 93	4.60000000e+00	1.21648630e-03	-4.73454271e-03
 94	4.65000000e+00	3.58648731e-04	1.48767521e-03
 95	4.70000000e+00	-3.40638225e-04	9.25168020e-03
 96	4.75000000e+00	-6.30044808e-04	1.33622644e-02
 97	4.80000000e+00	-5.19714752e-04	1.08010955e-02
 98	4.85000000e+00	-2.18290471e-04	3.23773461e-03
 99	4.90000000e+00	7.62683085e-05	-4.72829533e-03
100	4.95000000e+00	2.46573615e-04	-9.08136231e-03
101	5.00000000e+00	2.65884319e-04	-8.65864246e-03
102	5.05000000e+00	1.99427476e-04	-4.91549553e-03
103	5.10000000e+00	8.33477369e-05	-2.87882930e-04
104	5.15000000e+00	-1.78927475e-05	3.06695848e-03
105	5.20000000e+00	-4.43205131e-06	4.07257051e-03
106	5.25000000e+00	1.40859859e-05	2.98952252e-03
107	5.30000000e+00	3.03352575e-04	9.25770167e-04
108	5.35000000e+00	1.87586393e-03	-8.80639293e-04
109	5.40000000e+00	4.59630449e-03	-1.72731258e-03
110	5.45000000e+00	5.91978053e-03	-1.61957891e-03
111	5.50000000e+00	3.16656624e-03	-9.28427755e-04
112	5.55000000e+00	-3.45912940e-03	-1.23041951e-04
113	5.60000000e+00	-1.02529136e-02	4.36804090e-04
114	5.65000000e+00	-1.25005150e-02	6.02902092e-04
115	5.70000000e+00	-8.47113915e-03	4.22284100e-04
116	5.75000000e+00	-7.89921515e-04	1.18144306e-04
117	5.80000000e+00	6.04619555e-03	-1.28946596e-04
118	5.85000000e+00	8.88739784e-03	-2.54745376e-04
119	5.90000000e+00	7.40609403e-03	-2.39469180e-04
120	5.95000000e+00	3.40525780e-03	-1.59644299e-04
121	6.00000000e+00	-7.91987161e-04	-5.50778739e-05
122	6.05000000e+00	-3.39436726e-03	2.02662524e-05
123	6.10000000e+00	-3.72387901e-03	-1.02896313e-05
124	6.15000000e+00	-2.31973277e-03	-4.46025501e-05
125	6.20000000e+00	-3.37534457e-04	-5.30319599e-04
126	6.25000000e+00	1.15908565e-03	-2.38124005e-03
127	6.30000000e+00	1.68293108e-03	-4.84494708e-03
128	6.35000000e+00	1.38081949e-03	-5.20829454e-03
129	6.40000000e+00	6.60969718e-04	-1.49933841e-03
130	6.45000000e+00	-6.48353775e-05	5.17557268e-03
131	6.50000000e+00	-4.95679737e-04	1.07461133e-02
132	6.55000000e+00	-5.45797867e-04	1.12086885e-02
133	6.60000000e+00	-3.24614987e-04	6.11188576e-03
134	6.65000000e+00	-3.57794908e-05	-1.30399069e-03
135	6.70000000e+00	1.70829770e-04	-6.88839826e-03
136	6.75000000e+00	2.46851486e-04	-8.34702668e-03
137	6.80000000e+00	2.12290462e-04	-6.07832112e-03
138	6.85000000e+00	1.26859008e-04	-2.04049531e-03
139	6.90000000e+00	2.60380914e-05	1.63474324e-03
140	6.95000000e+00	-1.06692625e-05	3.49621612e-03
141	7.00000000e+00	2.52182452e-05	3.26867438e-03
142	7.05000000e+00	9.60011012e-05	1.67595817e-03
143	7.10000000e+00	8.23137343e-04	-1.53852762e-04
144	7.15000000e+00	2.84625377e-03	-1.32229183e-03
145	7.20000000e+00	4.87966001e-03	-1.57462328e-03
146	7.25000000e+00	4.26959735e-03	-1.13809321e-03
147	7.30000000e+00	-1.83262748e-04	-4.14575909e-04
148	7.35000000e+00	-6.56566332e-03	2.07720769e-04
149	7.40000000e+00	-1.07415701e-02	5.17241996e-04
150	7.45000000e+00	-9.60940234e-03	4.76965164e-04
151	7.50000000e+00	-3.83189794e-03	2.25476373e-04
